d_over_a,br_over_lambda0,beta_over_k0_fem_matched,beta_over_k0_analytic,beta_over_k0_helmvec3,selected_candidate_rank,selected_eig_index,ez_ratio,error_percent_analytic,error_percent_helmvec3,match_status,field_status,et_fields_csv_file,ez_fields_csv_file,et_vtk_file,ez_vtk_file
0.5,0.7,1.170894392226027,1.2,1.19,79,91,0.001152166531269245,2.425467314497739,1.605513258317047,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_5_br0_7_Et_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_7_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_7_Et.vtk,helmvec3_fig13_rect_table10_da0_5_br0_7_Ez.vtk
0.5,0.8,1.243232048520564,1.25,1.24,80,85,0.000494979077007813,0.5414361183548522,0.260649074239061,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_5_br0_8_Et_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_8_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_8_Et.vtk,helmvec3_fig13_rect_table10_da0_5_br0_8_Ez.vtk
0.5,0.9,1.301294730125744,1.3,1.31,82,74,9.731577731046228e-05,0.0995946250572131,0.6645244178821555,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_5_br0_9_Et_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_9_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_9_Et.vtk,helmvec3_fig13_rect_table10_da0_5_br0_9_Ez.vtk
0.5,1,1.346925245115832,1.35,1.35,87,70,2.086671569051879e-05,0.2277596210495042,0.2277596210495042,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_5_br1_Et_fields.csv,helmvec3_fig13_rect_table10_da0_5_br1_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_5_br1_Et.vtk,helmvec3_fig13_rect_table10_da0_5_br1_Ez.vtk
0.6,0.4,0.7041981312338239,0.7,0.67,37,123,0.006820835787756148,0.599733033403422,5.104198691615503,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_6_br0_4_Et_fields.csv,helmvec3_fig13_rect_table10_da0_6_br0_4_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_6_br0_4_Et.vtk,helmvec3_fig13_rect_table10_da0_6_br0_4_Ez.vtk
0.6,0.5,1.021438875771578,1.02,1.03,54,101,0.00281483465606195,0.1410662521154659,0.8311771095555589,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_6_br0_5_Et_fields.csv,helmvec3_fig13_rect_table10_da0_6_br0_5_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_6_br0_5_Et.vtk,helmvec3_fig13_rect_table10_da0_6_br0_5_Ez.vtk
0.6,0.6,1.167478954221404,1.18,1.19,76,92,6.100022723668548e-06,1.061105574457309,1.892524855344224,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_6_br0_6_Et_fields.csv,helmvec3_fig13_rect_table10_da0_6_br0_6_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_6_br0_6_Et.vtk,helmvec3_fig13_rect_table10_da0_6_br0_6_Ez.vtk
0.6,0.7,1.213398186915783,1.23,1.27,78,89,0.0007629597168617442,1.349740901155866,4.456835675922613,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_6_br0_7_Et_fields.csv,helmvec3_fig13_rect_table10_da0_6_br0_7_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_6_br0_7_Et.vtk,helmvec3_fig13_rect_table10_da0_6_br0_7_Ez.vtk
0.6,0.8,1.329511861202198,1.31,1.33,81,81,8.972825976398625e-07,1.489455053602871,0.03670216524830124,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_6_br0_8_Et_fields.csv,helmvec3_fig13_rect_table10_da0_6_br0_8_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_6_br0_8_Et.vtk,helmvec3_fig13_rect_table10_da0_6_br0_8_Ez.vtk
0.6,0.9,1.375589630991747,1.38,1.37,83,71,5.27329570941645e-07,0.3195919571198053,0.4080022621712755,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_6_br0_9_Et_fields.csv,helmvec3_fig13_rect_table10_da0_6_br0_9_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_6_br0_9_Et.vtk,helmvec3_fig13_rect_table10_da0_6_br0_9_Ez.vtk
0.6,1,1.409324208099305,1.41,1.4,88,67,3.389116434718625e-07,0.04792850359539005,0.6660148642360721,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_6_br1_Et_fields.csv,helmvec3_fig13_rect_table10_da0_6_br1_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_6_br1_Et.vtk,helmvec3_fig13_rect_table10_da0_6_br1_Ez.vtk
0.8,0.4,0.8724569346335532,0.9,0.91,40,96,0.0005399377326615404,3.060340596271866,4.125611578730418,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_8_br0_4_Et_fields.csv,helmvec3_fig13_rect_table10_da0_8_br0_4_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_8_br0_4_Et.vtk,helmvec3_fig13_rect_table10_da0_8_br0_4_Ez.vtk
0.8,0.5,1.186866566412925,1.18,1.18,76,95,0.0001558813790064638,0.5819124078749851,0.5819124078749851,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_8_br0_5_Et_fields.csv,helmvec3_fig13_rect_table10_da0_8_br0_5_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_8_br0_5_Et.vtk,helmvec3_fig13_rect_table10_da0_8_br0_5_Ez.vtk
0.8,0.6,1.309972573468949,1.29,1.3,77,90,3.428499481534325e-05,1.548261509220826,0.7671210360729724,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_8_br0_6_Et_fields.csv,helmvec3_fig13_rect_table10_da0_8_br0_6_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_8_br0_6_Et.vtk,helmvec3_fig13_rect_table10_da0_8_br0_6_Ez.vtk
0.8,0.7,1.380822999722395,1.38,1.37,80,81,1.483898277981699e-05,0.05963766104314581,0.7899999797368757,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_8_br0_7_Et_fields.csv,helmvec3_fig13_rect_table10_da0_8_br0_7_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_8_br0_7_Et.vtk,helmvec3_fig13_rect_table10_da0_8_br0_7_Ez.vtk
0.8,0.8,1.425281259754007,1.41,1.42,83,77,7.852839623974595e-06,1.083777287518248,0.3719197009864285,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_8_br0_8_Et_fields.csv,helmvec3_fig13_rect_table10_da0_8_br0_8_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_8_br0_8_Et.vtk,helmvec3_fig13_rect_table10_da0_8_br0_8_Ez.vtk
0.8,0.9,1.454378573353377,1.43,1.44,86,68,1.251254973779994e-06,1.704795339397025,0.9985120384289892,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_8_br0_9_Et_fields.csv,helmvec3_fig13_rect_table10_da0_8_br0_9_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_8_br0_9_Et.vtk,helmvec3_fig13_rect_table10_da0_8_br0_9_Ez.vtk
0.8,1,1.420064767221552,1.44,1.47,89,66,4.450092124979659e-05,1.384391165169992,3.39695461077877,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_8_br1_Et_fields.csv,helmvec3_fig13_rect_table10_da0_8_br1_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_8_br1_Et.vtk,helmvec3_fig13_rect_table10_da0_8_br1_Ez.vtk
