ordered_rank,solver_index,lambda
340,339,1488.397889613379
341,340,1496.649125222271
342,341,1533.451042905227
343,342,1533.957440200534
344,343,1536.870418301425
345,344,1566.110879750927
346,345,1579.52549482892
347,346,1582.924196430157
348,347,1598.757001407723
349,348,1610.455572233555
350,349,1618.631367432628
351,350,1630.53511266482
352,351,1643.640210162164
353,352,1661.264147894658
354,353,1669.124967973494
355,354,1670.08062941622
356,355,1673.950903741934
357,356,1688.971613655531
358,357,1691.611744946469
359,358,1691.772674666191
360,359,1712.048084127446
361,360,1721.044507188511
362,361,1734.254005661835
363,362,1741.583278516969
364,363,1753.395570480071
365,364,1754.200346706535
366,365,1769.076664291029
367,366,1770.279691782551
368,367,1794.56860457736
369,368,1797.569423767411
370,369,1802.300701386548
371,370,1803.787721164384
372,371,1813.900409790261
373,372,1832.107645458014
374,373,1848.444833044596
375,374,1856.318226170947
376,375,1857.102169321915
377,376,1857.395223953353
378,377,1872.814053786743
379,378,1875.608476559688
380,379,1876.897088417451
381,380,1902.361791591979
382,381,1905.389366556064
383,382,1912.056523025227
384,383,1920.948278831818
385,384,1929.041031200334
386,385,1935.05968556282
387,386,1940.835968322007
388,387,1955.235237894693
389,388,1961.170730260855
390,389,1965.498867253368
391,390,1975.029440197424
392,391,1976.447364851894
393,392,1978.877262622328
394,393,1989.047001154431
395,394,1989.302078120998
396,395,1993.159634961891
397,396,1997.799170324632
398,397,1998.373972667021
399,398,2002.392795620752
400,399,2006.788893191736
401,400,2008.960533217953
402,401,2010.636980281651
403,402,2013.905687618164
404,403,2021.380772458266
405,404,2022.385553532652
406,405,2026.628960960197
407,406,2030.225250712126
408,407,2033.016646969518
409,408,2035.752025195633
410,409,2043.260632285628
411,410,2048.430633471718
412,411,2049.047112919532
413,412,2050.508999021984
414,413,2051.470549311439
415,414,2056.450349491512
416,415,2065.343280168045
417,416,2066.833330340418
418,417,2069.18132168177
419,418,2077.710617320588
420,419,2080.960159054546
421,420,2086.963665918444
422,421,2094.287679286551
423,422,2097.588193135433
424,423,2099.338205521784
425,424,2107.159297527787
426,425,2110.895614212024
427,426,2116.591616831553
428,427,2119.224740875752
429,428,2128.014153693883
430,429,2128.287109605585
431,430,2129.748534535688
432,431,2136.631754758879
433,432,2142.64032471356
434,433,2144.122215455008
435,434,2145.813381483546
436,435,2157.599492900363
437,436,2159.523308773426
438,437,2166.173906866673
439,438,2168.717094190356
440,439,2169.520251379116
441,440,2170.758398099476
442,441,2175.103958625581
443,442,2179.194134618601
444,443,2183.959684274766
445,444,2189.454986023211
446,445,2194.045070156571
447,446,2194.285252965449
448,447,2205.121954324342
449,448,2205.209812572687
450,449,2208.229995788523
451,450,2209.595360783341
452,451,2211.848972259008
453,452,2218.566449085793
454,453,2227.688960993884
455,454,2234.634392225587
456,455,2235.275775120585
457,456,2236.596137389477
458,457,2239.208884422725
459,458,2241.020736541742
460,459,2241.908477652194
461,460,2242.390840256878
462,461,2247.124135611277
463,462,2250.348455638988
464,463,2254.574211258833
465,464,2258.906955535978
466,465,2264.018402064681
467,466,2264.694742854467
468,467,2274.51120160786
469,468,2274.909293529643
470,469,2280.190901838429
471,470,2284.309021475931
472,471,2284.608294495517
473,472,2286.646656911093
474,473,2288.468938084839
475,474,2291.843634959705
476,475,2362.638482831219
477,476,2373.354230752135
478,477,2462.277172518565
479,478,2477.743710268749
480,479,2491.077136778422
481,480,2554.490131826882
482,481,2560.728971394711
483,482,2581.062495160284
484,483,2721.122733612381
485,484,2738.132116135349
486,485,2753.669218709137
487,486,2754.814926044645
488,487,2770.637261207039
489,488,2788.293833886515
490,489,2817.745538405219
491,490,2835.935539256927
492,491,2843.654222618185
493,492,2873.518969860495
494,493,2882.306226078815
495,494,2919.046885064295
496,495,2951.457765238742
497,496,3052.70157257648
498,497,3084.789568673593
499,498,3100.871238707886
500,499,3205.259814911531
501,500,3209.139930304595
502,501,3214.151860400996
503,502,3269.802941759242
504,503,3305.200091246322
505,504,3374.65558191308
506,505,3388.707844291027
507,506,3394.715095030291
508,507,3463.545821617336
509,508,3526.297057834467
