node_id,x_m,y_m,Hz
61,0.6,0.125,-0.2205526062763021
62,0.7,0.125,-0.4112185070959578
63,0.8,0.125,-0.5614045532134673
64,0.9,0.125,-0.6576395581382081
65,1,0.125,-0.692194709064755
66,0,0.15,0.5779884845532473
67,0.1,0.15,0.5514043806238783
68,0.2,0.15,0.4676718919901144
69,0.3,0.15,0.3368733414228259
70,0.4,0.15,0.173230803654443
71,0.5,0.15,-0.006212210732906199
72,0.6,0.15,-0.183514793784841
73,0.7,0.15,-0.3417243969167206
74,0.8,0.15,-0.4663934260972423
75,0.9,0.15,-0.5467159402540157
76,1,0.15,-0.5766248080429093
77,0,0.175,0.4453158848034212
78,0.1,0.175,0.4259788662610737
79,0.2,0.175,0.3615250822226354
80,0.3,0.175,0.2601516087162166
81,0.4,0.175,0.1333187814909692
82,0.5,0.175,-0.005467252883431215
83,0.6,0.175,-0.1422243653904997
84,0.7,0.175,-0.2639833926973003
85,0.8,0.175,-0.359926541006096
86,0.9,0.175,-0.4221809595131894
87,1,0.175,-0.4464726972941165
88,0,0.2,0.302028421789654
89,0.1,0.2,0.2902249107651395
90,0.2,0.2,0.2464491233103246
91,0.3,0.2,0.1768452787856988
92,0.4,0.2,0.08984070702242196
93,0.5,0.2,-0.004908420997683437
94,0.6,0.2,-0.09771369937316975
95,0.7,0.2,-0.1799184056711541
96,0.8,0.2,-0.2446216635401847
97,0.9,0.2,-0.287090334191624
98,1,0.2,-0.3049813785905159
99,0,0.225,0.1516286293922787
100,0.1,0.225,0.1474909728037757
101,0.2,0.225,0.125280761300181
102,0.3,0.225,0.08900015586277651
103,0.4,0.225,0.04385623317304611
104,0.5,0.225,-0.004562265276393167
105,0.6,0.225,-0.05109018282594413
106,0.7,0.225,-0.09160570175129597
107,0.8,0.225,-0.1233156888046589
108,0.9,0.225,-0.1447646826421603
109,1,0.225,-0.1556587693632655
110,0,0.25,-0.002194614878938205
111,0.1,0.25,0.001294268494349577
112,0.2,0.25,0.001005501213534166
113,0.3,0.25,-0.001223803090063252
114,0.4,0.25,-0.003508829553218999
115,0.5,0.25,-0.004445053614895417
116,0.6,0.25,-0.003508829553233371
117,0.7,0.25,-0.001223803090102698
118,0.8,0.25,0.001005501213461881
119,0.9,0.25,0.001294268494241569
120,1,0.25,-0.002194614879062415
121,0,0.275,-0.1556587693631509
122,0.1,0.275,-0.1447646826420486
123,0.2,0.275,-0.1233156888045873
124,0.3,0.275,-0.09160570175125353
125,0.4,0.275,-0.05109018282591019
126,0.5,0.275,-0.004562265276365132
127,0.6,0.275,0.04385623317305229
128,0.7,0.275,0.08900015586274118
129,0.8,0.275,0.1252807613001195
130,0.9,0.275,0.1474909728036754
131,1,0.275,0.1516286293921628
132,0,0.3,-0.3049813785904095
133,0.1,0.3,-0.2870903341915251
134,0.2,0.3,-0.2446216635401189
135,0.3,0.3,-0.1799184056711052
136,0.4,0.3,-0.0977136993731096
137,0.5,0.3,-0.004908420997619664
138,0.6,0.3,0.08984070702245944
139,0.7,0.3,0.1768452787856764
140,0.8,0.3,0.2464491233102721
141,0.9,0.3,0.290224910765047
142,1,0.3,0.3020284217895366
143,0,0.325,-0.4464726972940063
144,0.1,0.325,-0.4221809595130984
145,0.2,0.325,-0.359926541006043
146,0.3,0.325,-0.2639833926972458
147,0.4,0.325,-0.1422243653904152
148,0.5,0.325,-0.005467252883336954
149,0.6,0.325,0.1333187814910286
150,0.7,0.325,0.2601516087162125
151,0.8,0.325,0.3615250822225974
152,0.9,0.325,0.4259788662609819
153,1,0.325,0.4453158848033048
154,0,0.35,-0.5766248080427939
155,0.1,0.35,-0.5467159402539261
156,0.2,0.35,-0.4663934260971954
157,0.3,0.35,-0.3417243969166595
158,0.4,0.35,-0.1835147937847399
159,0.5,0.35,-0.006212210732790087
160,0.6,0.35,0.1732308036545166
161,0.7,0.35,0.3368733414228349
162,0.8,0.35,0.467671891990085
163,0.9,0.35,0.5514043806237967
164,1,0.35,0.5779884845531436
165,0,0.375,-0.6921947090646503
166,0.1,0.375,-0.657639558138123
167,0.2,0.375,-0.5614045532134349
