family,transverse_label,mode_label,positive_rank,eig_index,m,n,ar_m,b_m,kc_fem,kc_ana,kc_ar_fem,kc_ar_ana,error_percent,rho_abs,field_status,fields_csv_file,vtk_file
TM,Ht,TM_m1_n1,1,230,1,1,1,0.5,6.997085120694578,7.024814731040727,6.997085120694578,7.024814731040727,0.3947379597588402,0.999964684379536,cell_centroid_unit_peak_normalized,edge_rect_fields_TM_m1_n1_rank01.csv,edge_rect_tm_m1_n1_rank01_Ht.vtk
TM,Ht,TM_m2_n1,2,231,2,1,1,0.5,8.91161295151238,8.885765876316732,8.91161295151238,8.885765876316732,0.2908817940447652,0.9999745384251798,cell_centroid_unit_peak_normalized,edge_rect_fields_TM_m2_n1_rank02.csv,edge_rect_tm_m2_n1_rank02_Ht.vtk
TM,Ht,TM_m3_n1,3,232,3,1,1,0.5,11.42827949832838,11.32717339913898,11.42827949832838,11.32717339913898,0.8925977878743682,0.9999439397460382,cell_centroid_unit_peak_normalized,edge_rect_fields_TM_m3_n1_rank03.csv,edge_rect_tm_m3_n1_rank03_Ht.vtk
TM,Ht,TM_m1_n2,4,233,1,2,1,0.5,12.61321975569159,12.95311834341519,12.61321975569159,12.95311834341519,2.624067646972354,0.9997244386702269,cell_centroid_unit_peak_normalized,edge_rect_fields_TM_m1_n2_rank04.csv,edge_rect_tm_m1_n2_rank04_Ht.vtk
TM,Ht,TM_m2_n2,5,234,2,2,1,0.5,13.83610689826139,14.04962946208145,13.83610689826139,14.04962946208145,1.519773631015225,0.9993598787723628,cell_centroid_unit_peak_normalized,edge_rect_fields_TM_m2_n2_rank05.csv,edge_rect_tm_m2_n2_rank05_Ht.vtk
TM,Ht,TM_m4_n1,6,235,4,1,1,0.5,14.24810731766224,14.04962946208145,14.24810731766224,14.04962946208145,1.412691033001682,0.9995931572077092,cell_centroid_unit_peak_normalized,edge_rect_fields_TM_m4_n1_rank06.csv,edge_rect_tm_m4_n1_rank06_Ht.vtk
TM,Ht,TM_m3_n2,7,236,3,2,1,0.5,15.68121480515627,15.70796326794897,15.68121480515627,15.70796326794897,0.1702860029426782,0.9988666908119679,cell_centroid_unit_peak_normalized,edge_rect_fields_TM_m3_n2_rank07.csv,edge_rect_tm_m3_n2_rank07_Ht.vtk
TM,Ht,TM_m5_n1,8,237,5,1,1,0.5,17.22919966452435,16.91799419646405,17.22919966452435,16.91799419646405,1.839493881167883,0.9970684944849291,cell_centroid_unit_peak_normalized,edge_rect_fields_TM_m5_n1_rank08.csv,edge_rect_tm_m5_n1_rank08_Ht.vtk
TM,Ht,TM_m1_n3,9,238,1,3,1,0.5,17.94055233162921,19.10956207871615,17.94055233162921,19.10956207871615,6.117407307773747,0.9453796392438324,cell_centroid_unit_peak_normalized,edge_rect_fields_TM_m1_n3_rank09.csv,edge_rect_tm_m1_n3_rank09_Ht.vtk
TM,Ht,TM_m4_n2,10,239,4,2,1,0.5,17.98313804816483,17.77153175263346,17.98313804816483,17.77153175263346,1.190703752927812,0.9411871752170239,cell_centroid_unit_peak_normalized,edge_rect_fields_TM_m4_n2_rank10.csv,edge_rect_tm_m4_n2_rank10_Ht.vtk
