formulation,dominant_block,component_label,family,mode_label,positive_rank,eig_index,m,n,p,ar_m,b_m,r_m,r1_m,r2_m,kc_fem,kc_ana,kc_ar_fem,kc_ar_ana,kc_r_fem,kc_r_ana,kc_r1_fem,kc_r1_ana,error_percent,rho_abs,edge_energy,scalar_energy,dominant_energy_ratio,match_space,match_method,mode_status,field_data_kind,field_status,fields_csv_file,vtk_file
E,edge,Et,TE,TE_m2_n2,11,185,2,2,,1,0.5,,,,13.8359913678188,14.04962946208145,13.8359913678188,14.04962946208145,,,,,1.520595933431815,0.9992263711934348,672.6590683224075,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_rect_E_Et_TE_m2_n2_rank11_fields.csv,mixed_rect_E_Et_TE_m2_n2_rank11.vtk
E,edge,Et,TE,TE_m4_n1,12,186,4,1,,1,0.5,,,,14.24655874615833,14.04962946208145,14.24655874615833,14.04962946208145,,,,,1.401668881078827,0.9991414686760369,540.4124233251202,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_rect_E_Et_TE_m4_n1_rank12_fields.csv,mixed_rect_E_Et_TE_m4_n1_rank12.vtk
E,edge,Et,TE,TE_m3_n2,13,189,3,2,,1,0.5,,,,15.68127238389677,15.70796326794897,15.68127238389677,15.70796326794897,,,,,0.1699194452959923,0.9982278952515855,634.6154494762561,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_rect_E_Et_TE_m3_n2_rank13_fields.csv,mixed_rect_E_Et_TE_m3_n2_rank13.vtk
E,edge,Et,TE,TE_m5_n0,14,190,5,0,,1,0.5,,,,15.86748502104508,15.70796326794897,15.86748502104508,15.70796326794897,,,,,1.015547021437274,0.999508175961107,495.8990072537734,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_rect_E_Et_TE_m5_n0_rank14_fields.csv,mixed_rect_E_Et_TE_m5_n0_rank14.vtk
E,edge,Et,TE,TE_m5_n1,15,192,5,1,,1,0.5,,,,17.22410276965677,16.91799419646405,17.22410276965677,16.91799419646405,,,,,1.809366817590534,0.9947772297676621,553.6260860601951,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_rect_E_Et_TE_m5_n1_rank15_fields.csv,mixed_rect_E_Et_TE_m5_n1_rank15.vtk
E,edge,Et,TE,TE_m0_n3,16,193,0,3,,1,0.5,,,,17.61959179865531,18.84955592153876,17.61959179865531,18.84955592153876,,,,,6.525162332752958,0.9995893238671085,676.9740331976855,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_rect_E_Et_TE_m0_n3_rank16_fields.csv,mixed_rect_E_Et_TE_m0_n3_rank16.vtk
E,edge,Et,TE,TE_m1_n3,17,194,1,3,,1,0.5,,,,17.92136354341547,19.10956207871615,17.92136354341547,19.10956207871615,,,,,6.217821896735511,0.8506285386716684,666.6787857551988,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_rect_E_Et_TE_m1_n3_rank17_fields.csv,mixed_rect_E_Et_TE_m1_n3_rank17.vtk
E,edge,Et,TE,TE_m4_n2,18,195,4,2,,1,0.5,,,,18.00388092701694,17.77153175263346,18.00388092701694,17.77153175263346,,,,,1.307423454644245,0.840675658533695,612.9779304789164,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_rect_E_Et_TE_m4_n2_rank18_fields.csv,mixed_rect_E_Et_TE_m4_n2_rank18.vtk
E,edge,Et,TE,TE_m2_n3,19,196,2,3,,1,0.5,,,,18.89142238026491,19.8691765315922,18.89142238026491,19.8691765315922,,,,,4.920959606819422,0.9973551909776049,655.1604917602576,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_rect_E_Et_TE_m2_n3_rank19_fields.csv,mixed_rect_E_Et_TE_m2_n3_rank19.vtk
E,edge,Et,TE,TE_m6_n0,20,198,6,0,,1,0.5,,,,19.0583716417412,18.84955592153876,19.0583716417412,18.84955592153876,,,,,1.107801802183775,0.9989437160807645,536.135629488891,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_rect_E_Et_TE_m6_n0_rank20_fields.csv,mixed_rect_E_Et_TE_m6_n0_rank20.vtk
E,scalar,Ez,TM,TM_m1_n1,1,175,1,1,,1,0.5,,,,7.106127567262446,7.024814731040727,7.106127567262446,7.024814731040727,,,,,1.157508622432702,0.9996633134941697,0,432.6119153484607,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_rect_E_Ez_TM_m1_n1_rank01_fields.csv,mixed_rect_E_Ez_TM_m1_n1_rank01.vtk
E,scalar,Ez,TM,TM_m2_n1,2,177,2,1,,1,0.5,,,,9.146578295816301,8.885765876316732,9.146578295816301,8.885765876316732,,,,,2.935170959148421,0.9996745599011794,0,455.5415175475528,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_rect_E_Ez_TM_m2_n1_rank02_fields.csv,mixed_rect_E_Ez_TM_m2_n1_rank02.vtk
E,scalar,Ez,TM,TM_m3_n1,3,180,3,1,,1,0.5,,,,11.93413334834412,11.32717339913898,11.93413334834412,11.32717339913898,,,,,5.358441402965354,0.9996929141949779,0,495.8547735342252,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_rect_E_Ez_TM_m3_n1_rank03_fields.csv,mixed_rect_E_Ez_TM_m3_n1_rank03.vtk
E,scalar,Ez,TM,TM_m1_n2,4,184,1,2,,1,0.5,,,,13.48948130744351,12.95311834341519,13.48948130744351,12.95311834341519,,,,,4.140801850243133,0.9980023411697808,0,505.787864557994,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_rect_E_Ez_TM_m1_n2_rank04_fields.csv,mixed_rect_E_Ez_TM_m1_n2_rank04.vtk
E,scalar,Ez,TM,TM_m2_n2,5,187,2,2,,1,0.5,,,,14.88564150551527,14.04962946208145,14.88564150551527,14.04962946208145,,,,,5.950420583618474,0.998009634581678,0,530.8564548019713,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_rect_E_Ez_TM_m2_n2_rank05_fields.csv,mixed_rect_E_Ez_TM_m2_n2_rank05.vtk
E,scalar,Ez,TM,TM_m4_n1,6,188,4,1,,1,0.5,,,,15.22811939387242,14.04962946208145,15.22811939387242,14.04962946208145,,,,,8.388049912430754,0.9997175878966001,0,556.6253335502025,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_rect_E_Ez_TM_m4_n1_rank06_fields.csv,mixed_rect_E_Ez_TM_m4_n1_rank06.vtk
E,scalar,Ez,TM,TM_m3_n2,7,191,3,2,,1,0.5,,,,17.06134856185491,15.70796326794897,17.06134856185491,15.70796326794897,,,,,8.615918377320366,0.9980351511319063,0,574.5432396058532,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_rect_E_Ez_TM_m3_n2_rank07_fields.csv,mixed_rect_E_Ez_TM_m3_n2_rank07.vtk
E,scalar,Ez,TM,TM_m5_n1,8,197,5,1,,1,0.5,,,,18.93151540215472,16.91799419646405,18.93151540215472,16.91799419646405,,,,,11.90165442964569,0.9997553458377966,0,641.6543013953378,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_rect_E_Ez_TM_m5_n1_rank08_fields.csv,mixed_rect_E_Ez_TM_m5_n1_rank08.vtk
E,scalar,Ez,TM,TM_m4_n2,9,199,4,2,,1,0.5,,,,19.88126681315737,17.77153175263346,19.88126681315737,17.77153175263346,,,,,11.87143061098981,0.9980987949221148,0,639.4619128543553,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_rect_E_Ez_TM_m4_n2_rank09_fields.csv,mixed_rect_E_Ez_TM_m4_n2_rank09.vtk
E,scalar,Ez,TM,TM_m1_n3,10,203,1,3,,1,0.5,,,,20.74980434497894,19.10956207871615,20.74980434497894,19.10956207871615,,,,,8.583358736878983,0.9932858331046719,0,620.6513868653105,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_rect_E_Ez_TM_m1_n3_rank10_fields.csv,mixed_rect_E_Ez_TM_m1_n3_rank10.vtk
E,scalar,Ez,TM,TM_m2_n3,11,204,2,3,,1,0.5,,,,21.90473654749472,19.8691765315922,21.90473654749472,19.8691765315922,,,,,10.2448131791771,0.9933240842189206,0,648.2364750053638,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_rect_E_Ez_TM_m2_n3_rank11_fields.csv,mixed_rect_E_Ez_TM_m2_n3_rank11.vtk
