node_id,x_m,y_m,Hz
208,1,0.45,0.02526609892059341
209,0,0.475,0.2499504716966257
210,0.1,0.475,0.6323431190923179
211,0.2,0.475,0.5109769806058508
212,0.3,0.475,-0.5401733955827671
213,0.4,0.475,-0.6398425191918248
214,0.5,0.475,-0.2286017844556118
215,0.6,0.475,-0.6619772944568674
216,0.7,0.475,-0.5434606597041164
217,0.8,0.475,0.5288285843682095
218,0.9,0.475,0.6328276794003943
219,1,0.475,0.2451422344883135
220,0,0.5,0.3054258628504323
221,0.1,0.5,0.7103235394584483
222,0.2,0.5,0.5652754011455897
223,0.3,0.5,-0.5933233945892201
224,0.4,0.5,-0.7233599272557723
225,0.5,0.5,-0.2853702905247723
226,0.6,0.5,-0.7454072367228352
227,0.7,0.5,-0.602153019692994
228,0.8,0.5,0.5802191414542567
229,0.9,0.5,0.7156746141999717
230,1,0.5,0.2974345439802528
