ordered_rank,solver_index,lambda
327,326,1908.685389130417
328,327,1914.868664378678
329,328,1915.686516975889
330,329,1928.14489039127
331,330,1931.421642472784
332,331,1939.313474526091
333,332,1949.504019208817
334,333,1952.53455455008
335,334,1953.795498761064
336,335,1960.357225412404
337,336,1963.698558430822
338,337,1974.302674532728
339,338,1975.896462479712
340,339,1982.117923268731
341,340,1985.864263101961
342,341,1989.842378903425
343,342,1992.834157061679
344,343,1995.822141907129
345,344,1997.237469673391
346,345,2001.505665136407
347,346,2003.124722103797
348,347,2008.448360678455
349,348,2009.393993220173
350,349,2012.854170594817
351,350,2016.802328583681
352,351,2021.389282633604
353,352,2021.743631278681
354,353,2029.413049317093
355,354,2035.071185023913
356,355,2046.088936963718
357,356,2047.04777353931
358,357,2048.489223109564
359,358,2050.413919448256
360,359,2055.963292388025
361,360,2062.874443452916
362,361,2066.48659364451
363,362,2070.420122398647
364,363,2078.020450887668
365,364,2083.961890728086
366,365,2088.30915469374
367,366,2095.58797771719
368,367,2096.334894968469
369,368,2100.548217814308
370,369,2105.031622434861
371,370,2107.618164533053
372,371,2115.301104962142
373,372,2117.334691937667
374,373,2127.858033527245
375,374,2130.822531577676
376,375,2135.41952111661
377,376,2138.963330299114
378,377,2142.092222640852
379,378,2142.927627945115
380,379,2154.787969281157
381,380,2156.175522130708
382,381,2166.743354138453
383,382,2168.891491569346
384,383,2171.859891091559
385,384,2174.164739771561
386,385,2180.278562805739
387,386,2191.865637762985
388,387,2191.89537780455
389,388,2195.374304804201
390,389,2199.666491495925
391,390,2204.089511263648
392,391,2206.799750551329
393,392,2209.74668236239
394,393,2209.930318572947
395,394,2224.678155495265
396,395,2227.261279945249
397,396,2232.260297922653
398,397,2235.230639745981
399,398,2238.038944791098
400,399,2238.614368047597
401,400,2241.383952552799
402,401,2241.416882301625
403,402,2244.98272476995
404,403,2248.102396718336
405,404,2251.666623627007
406,405,2257.629250688061
407,406,2257.650182078495
408,407,2258.823529411751
409,408,2260.490786023147
410,409,2264.18173743961
