ordered_rank,solver_index,lambda_real,lambda_imag,beta_denominator
91,90,-172.8065505139514,0,0.006305109077431299
92,91,-142.8083348287076,0,0.006769515681638602
93,92,-128.9495657034764,0,0.00585155994845367
94,93,-79.43657046511572,0,0.006787160524378724
95,94,-76.52850180206978,0,0.006005046901670306
96,95,-47.81055510403097,0,0.006234513807447663
97,96,-37.20795650665134,0,0.006273808115063258
98,97,-29.48905855191732,0,0.006617876330144347
99,106,-1.403985316566166,0,0.006682185866553409
100,154,0.003070189985112799,0,7.294397271927819
101,155,0.003145082150127312,0,6.841659795144361
102,156,0.003415836664101579,0,6.434400794658801
103,160,0.003734938507134592,0,6.260016563492834
104,162,0.003983620156099489,0,5.977211003477789
105,161,0.004165602455383133,0,5.845180638363019
106,165,0.004762600973325062,0,5.26224968712853
107,164,0.004898383500329226,0,5.336017185946763
108,163,0.005013562935409182,0,5.224829602145494
109,166,0.005711474128401698,0,4.735954545169954
110,167,0.00599979381642395,0,4.574354090346506
111,168,0.006092439973512859,0,4.830472700837963
112,169,0.006583292617997619,0,4.319073685204844
113,170,0.006639177778819313,0,4.254484425396195
114,159,0.007343744567022797,0,5.247357674318369
115,158,0.007629937468300533,0,4.12362993242983
116,157,0.007924504549796166,0,4.587664282926038
117,153,0.00875966677135414,0,3.940846202045332
118,152,0.009586385572222935,0,4.282462370939098
119,151,0.01030136885495594,0,3.657575010706498
120,150,0.01103754329980586,0,3.790431232331795
121,149,0.01212171571722722,0,3.454424133697069
122,148,0.01256144772336536,0,3.60123880213826
123,147,0.01317510155820699,0,3.937149837474293
124,146,0.01402690335480061,0,3.334238091942402
125,145,0.01727858250424963,0,2.800045235017221
126,144,0.01800458245835811,0,2.832587207114294
127,143,0.02172182971777275,0,3.332002338481193
128,141,0.02454183254765198,0,2.269393578939712
129,142,0.02487941297727529,0,2.306310933039681
130,140,0.03163848094220351,0,1.727441188211219
131,139,0.03678044434908209,0,1.635059796679421
132,138,0.04701172868746293,0,2.048828945220584
133,137,0.06092385267130193,0,1.105190352096755
134,110,0.102759947413134,0,0.7485599726209061
135,108,0.1483058337671798,0,0.5931336165676775
136,107,3.840109889967653,0,0.0133582893498869
137,109,3.867162605100973,0,0.01331561333822771
138,111,3.881616420258027,0,0.01345839955247
139,112,3.883173538377005,0,0.0131584308527639
140,113,3.887048147111612,0,0.01344995575629814
141,114,3.888737394448026,0,0.01383933035713078
142,115,3.890728480192746,0,0.01358716655830935
143,116,3.892407491729377,0,0.0143860969186527
144,117,3.892701260825277,0,0.01294865879649242
145,118,3.893423675707194,0,0.01349572051752944
146,119,3.893724470243279,0,0.01348543467043807
147,120,3.894488392638139,0,0.01453890757994427
148,121,3.894900280989216,0,0.01399126117034137
149,122,3.895105661385337,0,0.0135587591609002
150,129,3.895709553249501,0,0.01412350798032957
151,130,3.895759402589703,0,0.0131344986928446
152,131,3.89591652766228,0,0.01400795507591914
153,132,3.896036117471899,0,0.01386361449870376
154,133,3.896179764418537,0,0.01338674742212418
155,135,3.896563634434127,0,0.01514510216924559
156,136,3.896585809458741,0,0.01479465483842055
157,134,3.896667536490362,0,0.01411468176742785
158,128,3.896989043018076,0,0.01540348776070256
159,127,3.89708200287602,0,0.01517650899859475
160,126,3.897218689903827,0,0.0159872682635444
161,125,3.897378689040868,0,0.01567624290439212
162,123,3.897523565912044,0,0.01624647411849266
163,124,3.897564844883048,0,0.01702718178604238
164,105,6.735597688790545,0,0.01481471847191221
165,104,6.741140205069996,0,0.01441759612026061
166,103,6.770803394521182,0,0.01377390193309054
167,102,7.072909225012691,0,0.01297073107722488
168,98,9.528219147764363,0,0.01265905435654835
169,99,9.53855309249262,0,0.01410435248980963
170,100,9.544600941305992,0,0.01507049776935905
171,101,9.547402125730693,0,0.01556966527494391
