ordered_rank,solver_index,lambda_real,lambda_imag,beta_denominator
66,65,-606.5960134392808,0,0.005450449008118844
67,66,-584.4597930166433,0,0.006023634257874926
68,67,-543.1559017055431,0,0.006246949785603886
69,68,-534.1572170246206,0,0.005752724108938577
70,71,-524.0363583223602,0,0.006367557173027235
71,72,-520.0976768355449,0,0.005636793390185685
72,70,-515.3229890137833,0,0.005582044568136419
73,69,-499.6810129976724,0,0.005494464213312697
74,73,-456.1527436989635,0,0.00598304115714664
75,74,-431.3920332388043,0,0.005822505713584135
76,75,-418.3070630814325,0,0.005585563142270822
77,76,-392.1217838625587,0,0.005736262024115985
78,77,-364.7547799492052,0,0.005959803451254312
79,78,-358.3430299538973,0,0.006195516754435301
80,79,-327.1725769822028,0,0.006312768957833578
81,81,-316.3434290048205,0,0.005685982008199775
82,82,-312.6275979289069,0,0.00633800908557338
83,80,-293.345510099528,0,0.005690352068632832
84,83,-257.9003878114183,0,0.006410508961735959
85,84,-220.8790704965245,0,0.005772800317482382
86,85,-216.6553352391037,0,0.005876240142308822
87,86,-164.1974237320317,0,0.00659209625203947
88,87,-159.8502206874865,0,0.006035909707457533
89,88,-137.5052938208063,0,0.005971808034778899
90,89,-124.8868099773572,0,0.006059276039117752
91,90,-113.6740298391494,0,0.006325399593158495
92,91,-82.92692621904044,0,0.006767624229146884
93,92,-68.8653670645992,0,0.005854956177486393
94,93,-19.29114396894203,0,0.006887467213806363
95,94,-16.65257602017251,0,0.005911563708688102
96,119,0.02748263950227967,0,7.298807262387078
97,120,0.02777265521736591,0,6.979175535447165
98,121,0.02916907248129255,0,6.715402778891307
99,122,0.03150262951556621,0,6.19829034279524
100,123,0.03377470715212077,0,6.438756707699135
101,124,0.03489471298035821,0,5.864198091872584
102,125,0.03740044843133606,0,5.886755169033572
103,126,0.03961645183121936,0,5.488249493320946
104,128,0.04310192904368532,0,5.30543610194731
105,127,0.04348251178469444,0,5.162598219398109
106,129,0.04687673477338444,0,4.980878985715125
107,135,0.05025067479442914,0,4.829166333294315
108,136,0.05030461108366477,0,4.88283335459095
109,133,0.05504542876175397,0,4.383039546774984
110,134,0.05700349042246664,0,4.082401032344621
111,132,0.0594740512143616,0,4.618917766882879
112,131,0.06050275825376639,0,4.124747523051668
113,130,0.0609016008609259,0,4.311088816131591
114,118,0.07034981192108729,0,3.915841245180093
115,117,0.07299960509209337,0,4.151446731372546
116,116,0.07786657233410049,0,3.84604744591069
117,115,0.08873932706643532,0,3.620407617276277
118,114,0.09333763457118173,0,3.500661077617101
119,113,0.1018804836068849,0,3.2946008662118
120,112,0.1072184267622876,0,3.279129320588315
121,111,0.1175171733687237,0,2.992196935801612
122,110,0.1282599671705698,0,2.885919162213685
123,109,0.1409625422268832,0,2.785222443489767
124,108,0.1847988044883146,0,2.26728186672569
125,107,0.1890532742283174,0,2.280911091283447
126,106,0.2456938834898608,0,1.877589895852037
127,105,0.2793168983635034,0,1.678649819396901
128,104,0.2969492381661014,0,1.618750912549051
129,103,0.4443045957215598,0,1.163910476718427
130,101,0.7310312307981763,0,0.7599443536071221
131,99,1.155361495250897,0,0.5021592301020539
132,96,11.82731143867013,0,0.006222955001553938
133,97,22.15932821619531,0,0.006195211505878428
134,98,31.02211481701651,0,0.006626708892225526
135,100,34.5045771044759,0,0.01337977914193851
136,102,34.72256388021194,0,0.01331699338007795
137,137,34.8683591486157,0,0.01334820025083773
138,138,34.94282127215256,0,0.01318347120927895
139,139,34.95171027829768,0,0.01339179929355153
140,140,34.96864825439486,0,0.01341215117858682
141,141,34.99714480948913,0,0.01370735252808838
142,142,34.99928342104644,0,0.0136318761613869
143,143,35.02130364352535,0,0.01394717872624695
144,144,35.02767936466801,0,0.0138621590125226
145,145,35.03306962123809,0,0.01284141409802506
146,146,35.03823552305215,0,0.01383529553110827
147,147,35.04091246411003,0,0.01339336331341003
148,148,35.04519579454822,0,0.01410253029964753
149,149,35.04750092459,0,0.0137109386267067
150,150,35.05295023014268,0,0.01392649950175183
151,151,35.05538895319233,0,0.01445084835710944
152,152,35.0567165600098,0,0.01365761136923499
153,161,35.06144951255747,0,0.01397396749669879
154,162,35.06164927926916,0,0.01277526343858481
155,163,35.06216451318684,0,0.01462443760363588
156,168,35.06340184621621,0,0.0130801991249254
157,164,35.06438244194844,0,0.01315504679253742
158,170,35.06675641292095,0,0.01430868375008728
159,169,35.06678341974551,0,0.01454358355886447
160,167,35.06847272677976,0,0.01428224255796359
161,166,35.07017202535816,0,0.01476295019175396
162,165,35.07036255170486,0,0.01467837091792373
163,160,35.07210734611314,0,0.0148356167207847
164,159,35.07321656469112,0,0.01549871145752045
165,158,35.07447072397161,0,0.01514835330773949
166,157,35.07503127520765,0,0.01635038731510996
167,156,35.07616837138242,0,0.01542166066249263
168,154,35.07733615919695,0,0.01614414215995861
