ordered_rank,solver_index,lambda
291,290,510.4848649431927
292,291,510.4848649431943
293,292,519.9179801386711
294,293,519.9179801386717
295,294,525.4212501553865
296,295,525.4212501553868
297,296,531.6633270364077
298,297,531.6633270364082
299,298,548.5069445838039
300,299,548.5069445838392
301,300,573.8281004605782
302,301,573.8281004606646
303,302,576.6811259470936
304,303,577.8428531678125
305,304,577.8428531678132
306,305,615.5538087779877
307,306,615.5538087779906
308,307,625.9385654451678
309,308,625.9385654452584
310,309,633.5844561374101
311,310,633.5844561374103
312,311,634.1736660699993
313,312,634.1736660699996
314,313,641.7609071260322
315,314,641.7609071260636
316,315,641.8252074469933
317,316,641.8252074469954
318,317,646.9707534353773
319,318,646.9707534353777
320,319,651.0858793476986
321,320,662.7058630075778
322,321,662.705863007578
323,322,670.5873261424591
324,323,670.5873261425028
325,324,681.1638973355999
326,325,681.1638973356378
327,326,709.6145418075623
328,327,709.6145418076502
329,328,732.3167911089779
330,329,732.3167911089805
331,330,737.6942973426617
332,331,737.6942973426624
333,332,768.1639843639921
334,333,768.1639843639929
335,334,770.2275055531949
336,335,770.2275055532165
337,336,775.0898888702661
338,337,775.0898888702668
339,338,776.6435515895225
340,339,776.6435515895248
341,340,788.543786402653
342,341,788.5437864027756
343,342,788.9056855413669
344,343,800.6937752348538
345,344,800.6937752348806
346,345,820.0152008120248
347,346,820.0152008121466
348,347,822.4829241360578
349,348,822.4829241360632
350,349,822.9638149549565
351,350,822.9638149549958
352,351,842.7861862507307
353,352,842.7861862507704
354,353,854.6626844855286
355,354,854.6626844856122
356,355,857.3603551496382
357,356,857.3603551496387
358,357,868.4697223631713
359,358,881.7412391073696
360,359,881.7412391073937
361,360,930.918589391601
362,361,930.9185893916102
363,362,943.1435147527832
364,363,943.1435147527834
365,364,975.8979053944277
366,365,975.8979053944284
367,366,1003.017215836758
368,367,1003.017215836759
369,368,1016.941856629716
370,369,1026.20369057174
371,370,1026.203690571757
372,371,1029.011351727654
373,372,1029.011351727655
374,373,1052.571123797841
375,374,1052.571123797842
376,375,1058.736670939441
377,376,1058.736670939444
378,377,1155.840458638659
379,378,1155.84045863866
380,379,1159.159382813826
381,380,1159.159382813829
382,381,1176.813844902809
383,382,1176.813844902812
384,383,1180.466423678528
385,384,1180.466423678562
386,385,1181.568887068183
387,386,1181.568887068184
388,387,1187.009192591973
389,388,1242.730660744897
390,389,1242.730660744899
391,390,1247.768104899858
392,391,1247.76810489986
393,392,1272.90494265038
394,393,1272.904942650413
395,394,1283.738002453156
396,395,1283.738002453157
397,396,1611.873500845841
398,397,1611.873500845853
399,398,1668.367417522132
400,399,1671.458713550433
401,400,1671.458713550433
402,401,1690.046965528862
403,402,1690.046965528863
404,403,1739.59124116713
405,404,1739.591241167135
406,405,1791.455182630817
407,406,1791.45518263082
408,407,1817.35993302508
409,408,1817.359933025082
410,409,1823.509290520208
411,410,1823.50929052021
412,411,1824.092812496495
413,412,1824.092812496498
414,413,2518.873141231354
415,414,2559.504779671244
416,415,2559.504779671252
417,416,2637.243906939761
